"Value","Designator","Footprint","LCSC Part Number","Digikey Part Number","Comments"
"12pF","C31,C32","C_0402_1005Metric","C1547","",""
"100nF","C1,C3,C4,C6,C8,C10,C12","C_0402_1005Metric","C359190","1276-1002-2-ND",""
"1uF","C2,C5,C7,C9,C11,C13","C_0402_1005Metric","C52923","",""
"10uF","C33,C34,C35,C36,C37,C38","C_0402_1005Metric","C15525","",""
"BM02B-SRSS-TB","J2,J9,J10,J11,J12,J13","BM02B-SRSS-TB","C395299","",""
"Conn_01x02","J16,J17","PinHeader_1x02_P2.54mm_Vertical","","",""
"Conn_01x03","J4,J5","PinHeader_1x03_P2.54mm_Vertical","","",""
"Conn_01x04","J14,J15","PinHeader_1x04_P2.54mm_Vertical","","",""
"Conn_01x05","J3,J6,J8","PinHeader_1x05_P2.54mm_Vertical","","",""
"XKB-USB-C16PIN","J1","XKB-USB-C-16P","C319148","",""
"10uH","L2","L_0603_1608Metric","C285968","",""
