Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",118.4800,-202.0000,0.0000,bottom
"C2","1uF","C_0402_1005Metric",160.7400,-202.4955,0.0000,bottom
"C3","100nF","C_0402_1005Metric",179.0075,-169.6500,180.0000,bottom
"C4","100nF","C_0402_1005Metric",161.3400,-207.0955,180.0000,bottom
"C5","1uF","C_0402_1005Metric",179.0075,-168.6500,0.0000,bottom
"C6","100nF","C_0402_1005Metric",323.5200,-169.5000,180.0000,bottom
"C7","1uF","C_0402_1005Metric",323.5200,-168.5000,0.0000,bottom
"C8","100nF","C_0402_1005Metric",476.5375,-166.0000,180.0000,bottom
"C9","1uF","C_0402_1005Metric",476.5375,-167.0000,0.0000,bottom
"C10","100nF","C_0402_1005Metric",117.3750,-104.4500,-90.0000,bottom
"C11","1uF","C_0402_1005Metric",116.3750,-104.4500,90.0000,bottom
"C12","100nF","C_0402_1005Metric",388.3375,-82.4000,180.0000,bottom
"C13","1uF","C_0402_1005Metric",388.3375,-83.4000,0.0000,bottom
"C31","12pF","C_0402_1005Metric",123.8000,-138.5000,90.0000,bottom
"C32","12pF","C_0402_1005Metric",122.3000,-138.5000,-90.0000,bottom
"C33","10uF","C_0402_1005Metric",119.0000,-136.5000,-90.0000,bottom
"C34","10uF","C_0402_1005Metric",115.5000,-136.5000,-90.0000,bottom
"C35","10uF","C_0402_1005Metric",118.0000,-136.5000,-90.0000,bottom
"C36","10uF","C_0402_1005Metric",120.5200,-153.9375,180.0000,bottom
"C37","10uF","C_0402_1005Metric",114.7500,-149.7500,90.0000,bottom
"C38","10uF","C_0402_1005Metric",122.2500,-149.8000,90.0000,bottom
"J1","XKB-USB-C16PIN","XKB-USB-C-16P",299.8900,-117.8000,0.0000,bottom
"J2","BM02B-SRSS-TB","BM02B-SRSS-TB",117.4800,-199.9250,0.0000,bottom
"J9","BM02B-SRSS-TB","BM02B-SRSS-TB",200.8000,-203.7250,0.0000,bottom
"J10","BM02B-SRSS-TB","BM02B-SRSS-TB",249.2000,-205.3250,0.0000,bottom
"J11","BM02B-SRSS-TB","BM02B-SRSS-TB",302.6000,-204.1250,0.0000,bottom
"J12","BM02B-SRSS-TB","BM02B-SRSS-TB",402.0000,-204.9250,0.0000,bottom
"J13","BM02B-SRSS-TB","BM02B-SRSS-TB",508.8000,-205.1250,0.0000,bottom
"L2","10uH","L_0603_1608Metric",116.7500,-137.0000,-90.0000,bottom
"LED1","1206REVMNT","1206REVMNT",55.7750,-63.6000,-90.0000,bottom
"LED2","1206REVMNT","1206REVMNT",93.8750,-63.6000,-90.0000,bottom
"LED3","1206REVMNT","1206REVMNT",141.5000,-63.6000,-90.0000,bottom
"LED4","1206REVMNT","1206REVMNT",179.6000,-63.6000,-90.0000,bottom
"LED5","1206REVMNT","1206REVMNT",217.7000,-63.6000,-90.0000,bottom
"LED6","1206REVMNT","1206REVMNT",255.8000,-63.6000,-90.0000,bottom
"LED7","1206REVMNT","1206REVMNT",293.9000,-63.6000,-90.0000,bottom
"LED8","1206REVMNT","1206REVMNT",332.0000,-63.6000,-90.0000,bottom
"LED9","1206REVMNT","1206REVMNT",370.1000,-63.6000,-90.0000,bottom
"LED10","1206REVMNT","1206REVMNT",408.2000,-63.6000,-90.0000,bottom
"LED11","1206REVMNT","1206REVMNT",446.3000,-63.6000,-90.0000,bottom
"LED12","1206REVMNT","1206REVMNT",484.4000,-63.6000,-90.0000,bottom
"LED13","1206REVMNT","1206REVMNT",532.0250,-63.6000,-90.0000,bottom
"LED14","1206REVMNT","1206REVMNT",570.1250,-63.6000,-90.0000,bottom
"LED15","1206REVMNT","1206REVMNT",55.7750,-84.9400,-90.0000,bottom
"LED16","1206REVMNT","1206REVMNT",93.8750,-84.9400,-90.0000,bottom
"LED17","1206REVMNT","1206REVMNT",141.5000,-84.9400,-90.0000,bottom
"LED18","1206REVMNT","1206REVMNT",179.6000,-84.9400,-90.0000,bottom
"LED19","1206REVMNT","1206REVMNT",217.7000,-84.9400,-90.0000,bottom
"LED20","1206REVMNT","1206REVMNT",255.8000,-84.9400,-90.0000,bottom
"LED21","1206REVMNT","1206REVMNT",293.9000,-84.9400,-90.0000,bottom
"LED22","1206REVMNT","1206REVMNT",332.0000,-84.9400,-90.0000,bottom
"LED23","1206REVMNT","1206REVMNT",370.1000,-84.9400,-90.0000,bottom
"LED24","1206REVMNT","1206REVMNT",408.2000,-84.9400,-90.0000,bottom
"LED25","1206REVMNT","1206REVMNT",446.3000,-84.9400,-90.0000,bottom
"LED26","1206REVMNT","1206REVMNT",484.4000,-84.9400,-90.0000,bottom
"LED27","1206REVMNT","1206REVMNT",532.0250,-84.9400,-90.0000,bottom
"LED28","1206REVMNT","1206REVMNT",570.1250,-84.9400,-90.0000,bottom
"LED29","1206REVMNT","1206REVMNT",46.2500,-106.2800,-90.0000,bottom
"LED30","1206REVMNT","1206REVMNT",65.3000,-106.2800,-90.0000,bottom
"LED31","1206REVMNT","1206REVMNT",84.3500,-106.2800,-90.0000,bottom
"LED32","1206REVMNT","1206REVMNT",103.4000,-106.2800,-90.0000,bottom
"LED33","1206REVMNT","1206REVMNT",141.5000,-106.2800,-90.0000,bottom
"LED34","1206REVMNT","1206REVMNT",170.0750,-106.2800,-90.0000,bottom
"LED35","1206REVMNT","1206REVMNT",189.1250,-106.2800,-90.0000,bottom
"LED36","1206REVMNT","1206REVMNT",208.1750,-106.2800,-90.0000,bottom
"LED37","1206REVMNT","1206REVMNT",227.2250,-106.2800,-90.0000,bottom
"LED38","1206REVMNT","1206REVMNT",246.2750,-106.2800,-90.0000,bottom
"LED39","1206REVMNT","1206REVMNT",265.3250,-106.2800,-90.0000,bottom
"LED40","1206REVMNT","1206REVMNT",284.3750,-106.2800,-90.0000,bottom
"LED41","1206REVMNT","1206REVMNT",303.4250,-106.2800,-90.0000,bottom
"LED42","1206REVMNT","1206REVMNT",322.4750,-106.2800,-90.0000,bottom
"LED43","1206REVMNT","1206REVMNT",341.5250,-106.2800,-90.0000,bottom
"LED44","1206REVMNT","1206REVMNT",360.5750,-106.2800,-90.0000,bottom
"LED45","1206REVMNT","1206REVMNT",379.6250,-106.2800,-90.0000,bottom
"LED46","1206REVMNT","1206REVMNT",398.6750,-106.2800,-90.0000,bottom
"LED47","1206REVMNT","1206REVMNT",417.7250,-106.2800,-90.0000,bottom
"LED48","1206REVMNT","1206REVMNT",436.7750,-106.2800,-90.0000,bottom
"LED49","1206REVMNT","1206REVMNT",455.8250,-106.2800,-90.0000,bottom
"LED50","1206REVMNT","1206REVMNT",484.4000,-106.2800,-90.0000,bottom
"LED51","1206REVMNT","1206REVMNT",522.5000,-106.2800,-90.0000,bottom
"LED52","1206REVMNT","1206REVMNT",541.5500,-106.2800,-90.0000,bottom
"LED53","1206REVMNT","1206REVMNT",560.6000,-106.2800,-90.0000,bottom
